"id","controller_id","measurement_time","sensor_id","temperature","humidity","pressure"
44,raspberrypi,2018-11-15 20:52:07,bedroom,20.56,40,1030.26
45,raspberrypi,2018-11-15 20:52:07,living_room,22.43,39,1030.89
46,raspberrypi,2018-11-15 20:54:07,bedroom,20.52,40,1030.36
47,raspberrypi,2018-11-15 20:54:07,living_room,22.3,39.5,1030.95
48,raspberrypi,2018-11-15 20:56:07,bedroom,20.49,40,1030.42
49,raspberrypi,2018-11-15 20:56:07,living_room,22.2,39.5,1030.98
50,raspberrypi,2018-11-15 20:58:07,bedroom,20.46,40,1030.42
51,raspberrypi,2018-11-15 20:58:07,living_room,22.1,39.5,1031.01
52,raspberrypi,2018-11-15 21:00:07,bedroom,20.44,40,1030.47
53,raspberrypi,2018-11-15 21:00:07,living_room,22.01,39.5,1031.04
54,raspberrypi,2018-11-15 21:02:07,bedroom,20.41,40,1030.44
55,raspberrypi,2018-11-15 21:02:07,living_room,21.92,39.5,1031.03
56,raspberrypi,2018-11-15 21:04:07,bedroom,20.38,40,1030.48
57,raspberrypi,2018-11-15 21:04:07,living_room,21.85,40,1031.02
58,raspberrypi,2018-11-15 21:06:07,bedroom,20.36,40,1030.5
59,raspberrypi,2018-11-15 21:06:07,living_room,21.79,40,1031.05
60,raspberrypi,2018-11-15 21:08:07,bedroom,20.33,40,1030.51
61,raspberrypi,2018-11-15 21:08:07,living_room,21.73,40.5,1031.1
62,raspberrypi,2018-11-15 21:10:07,bedroom,20.3,40.5,1030.5
63,raspberrypi,2018-11-15 21:10:07,living_room,21.75,40,1031.12
64,raspberrypi,2018-11-15 21:12:08,bedroom,20.25,40.5,1030.53
65,raspberrypi,2018-11-15 21:12:08,living_room,21.59,40.5,1031.13
66,raspberrypi,2018-11-15 21:14:07,bedroom,20.21,40.5,1030.52
67,raspberrypi,2018-11-15 21:14:07,living_room,21.48,40.5,1031.11
68,raspberrypi,2018-11-15 21:16:07,bedroom,20.17,40.5,1030.54
69,raspberrypi,2018-11-15 21:16:07,living_room,21.41,40.5,1031.16
70,raspberrypi,2018-11-15 21:18:07,bedroom,20.14,40.5,1030.54
71,raspberrypi,2018-11-15 21:18:07,living_room,21.34,40.5,1031.16
72,raspberrypi,2018-11-15 21:20:07,bedroom,20.1,40.5,1030.56
73,raspberrypi,2018-11-15 21:20:07,living_room,21.29,40.5,1031.2
74,raspberrypi,2018-11-15 21:22:07,bedroom,20.07,40.5,1030.57
75,raspberrypi,2018-11-15 21:22:07,living_room,21.26,40.5,1031.2
76,raspberrypi,2018-11-15 21:24:08,bedroom,20.03,40.5,1030.56
77,raspberrypi,2018-11-15 21:24:08,living_room,21.23,40.5,1031.21
78,raspberrypi,2018-11-15 21:26:07,bedroom,20,40.5,1030.54
79,raspberrypi,2018-11-15 21:26:07,living_room,21.21,41,1031.19
